"103000","SGapple 4","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","573","CENTIMETERS","Person{name='Andrey', passportID='E314159265359', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qweqwe'}}"
"106000","SDGJapple 20","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","7900","CENTIMETERS","Person{name='Antonius', passportID='E31415926535PE31415926535Q', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue oiuasoidu'}}"
"102000","23627apple 11","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","75300","CENTIMETERS","Person{name='Mark', passportID='E31415926535', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue nzmbmncbzmncx'}}"
"10","KKKapple 10","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","10","METERS","Person{name='person', passportID='LEEEEEIIEEE0000000F0', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenueasd asndbmas'}}"
"120000","SDHSDH326apple 18","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","2500030","CENTIMETERS","Person{name='Don', passportID='E31415926535PE31415926535Q', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue asmndasmddmmdmd'}}"
"9","IIIapple 9","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","90","METERS","Person{name='person', passportID='23EEEEEEEE0II000F0000', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenue asksudjdjdujd'}}"
"8","LLLapple 8","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","80","METERS","Person{name='person', passportID='74EEEEEEEE00000000', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenue akjsdhaksd'}}"
"101","236apple 10","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","9300","CENTIMETERS","Person{name='David', passportID='E31415926535LE31415926535M', hairColor=BROWN, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue dsakjhas'}}"
"109000","SDHSDapple 2","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","150370","CENTIMETERS","Person{name='Bob', passportID='E31415926535B', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue askldjas'}}"
"7","MMMapple 7","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","70","METERS","Person{name='person', passportID='61EEQQEEEEEEIII00000000', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenue aslkdjas'}}"
"100","32PP3apple 7","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","280300","CENTIMETERS","Person{name='Rob', passportID='E31415926535G', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue alskdj'}}"
"6","PPPapple 6","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","60000","METERS","Person{name='person', passportID='99EEEFEEEEE00000000', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenue aslkdjas'}}"
"5","OOOapple 5","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","50000","METERS","Person{name='person', passportID='KEEEEEEEEIII00000000', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenue asdaslkdjas'}}"
"4","TTTapple 4","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","40000","METERS","Person{name='person', passportID='AEEEEEFFEEE00000000', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenuejod qoi'}}"
"3","RRRapple 3","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","30000","METERS","Person{name='person', passportID='0EEEEEQEEE0III0000', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenue asdasdasd'}}"
"105000","SDGSDapple 1","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","5030","CENTIMETERS","Person{name='Eve', passportID='E31415926535A', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue dasdasdasdasdasdasdass'}}"
"2","AAAapple 2","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","20000","METERS","Person{name='person', passportID='AAAEEEEEQEEE0000F0000', hairColor=BROWN, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenued asd adslkjasili'}}"
"1","EEEapple 1","Coordinates{x=20, y=30.0}","Wed Apr 17 13:44:11 MSK 2024","10000","METERS","Person{name='person', passportID='EEEQQQEEEEE00000000III', hairColor=YELLOW, nationality=FRANCE, location=Location{x=19920, y=939, name='FifthAvenue nciurnecruukcr'}}"
